Month,Variant,Seasonality Factor,Economic Index,Industry Growth Rate (%)
2022-08,XXX11,High,251.34,22.28
2022-08,XXX11,Low,190.04999999999998,0.49
2022-08,XXX11,Medium,481.45,46.129999999999995
2022-08,XXX12,High,111.19,12.55
2022-08,XXX12,Low,333.06,4.22
2022-08,XXX12,Medium,302.23,8.02
2022-08,XXX13,High,582.37,35.230000000000004
2022-08,XXX13,Low,570.51,45.95
2022-08,XXX13,Medium,370.91999999999996,15.89
2022-08,XXX17,Low,80.46,11.46
2022-08,XXX17,Medium,123.2,-2.96
2022-08,XXX18,Medium,146.85,6.95
2022-08,XXXV1,High,561.43,20.64
2022-08,XXXV1,Low,441.25,9.36
2022-08,XXXV1,Medium,1099.5700000000002,23.259999999999998
2022-08,XXXV2,High,780.8499999999999,72.88
2022-08,XXXV2,Low,1461.88,80.31
2022-08,XXXV2,Medium,748.33,58.09
2022-08,XXXV3,High,372.81,20.75
2022-08,XXXV3,Low,557.33,30.05
2022-08,XXXV3,Medium,362.58,13.899999999999999
2022-08,XXXV4,Low,139.05,9.64
2022-08,XXXV4,Medium,353.32,25.55
2022-08,XXXV5,High,240.26,27.35
2022-08,XXXV5,Low,332.48,29.1
2022-08,XXXV5,Medium,245.51,23.53
2022-09,XXX11,High,286.89,16.29
2022-09,XXX11,Low,943.66,63.13
2022-09,XXX11,Medium,641.84,21.16
2022-09,XXX12,Low,182.36,4.7299999999999995
2022-09,XXX13,High,238.42,12.98
2022-09,XXX13,Low,143.74,5.91
2022-09,XXX13,Medium,123.28,3.54
2022-09,XXX15,Medium,235.68,15.27
2022-09,XXX17,High,136.07,-3.33
2022-09,XXX17,Low,127.1,10.79
2022-09,XXX17,Medium,60.79,2.09
2022-09,XXX18,High,66.01,-4.21
2022-09,XXX18,Low,311.51,8.14
2022-09,XXXV1,High,477.21999999999997,28.009999999999998
2022-09,XXXV1,Low,367.96000000000004,8.53
2022-09,XXXV1,Medium,557.24,55.42
2022-09,XXXV2,High,1305.81,37.8
2022-09,XXXV2,Low,2025.8799999999999,91.72
2022-09,XXXV2,Medium,662.54,51.86
2022-09,XXXV3,High,457.79,-0.2599999999999998
2022-09,XXXV3,Low,100.94,0.78
2022-09,XXXV3,Medium,203.06,23.66
2022-09,XXXV4,High,240.78,24.79
2022-09,XXXV4,Low,311.09,8.489999999999998
2022-09,XXXV4,Medium,321.94000000000005,-5.26
2022-09,XXXV5,High,199.70000000000002,3.4
2022-09,XXXV5,Low,134.07,14.14
2022-09,XXXV5,Medium,462.74,25.020000000000003
2022-09,XXXV9,Low,122.96,0.78
2022-10,XXX11,High,644.9200000000001,24.21
2022-10,XXX11,Low,505.71000000000004,16.11
2022-10,XXX11,Medium,542.28,24.93
2022-10,XXX12,High,58.41,7.97
2022-10,XXX12,Low,192.56,12.0
2022-10,XXX12,Medium,226.16,-2.23
2022-10,XXX13,High,633.88,19.910000000000004
2022-10,XXX13,Low,181.65,15.7
2022-10,XXX15,High,136.58,20.93
2022-10,XXX15,Low,188.28,6.109999999999999
2022-10,XXX15,Medium,306.44,36.69
2022-10,XXX17,High,119.09,-4.8
2022-10,XXX17,Low,73.96,5.0
2022-10,XXX17,Medium,53.69,3.32
2022-10,XXX18,High,690.14,43.15
2022-10,XXX18,Medium,463.98,43.53
2022-10,XXXV1,High,712.37,27.89
2022-10,XXXV1,Low,595.22,31.479999999999997
2022-10,XXXV1,Medium,214.76999999999998,12.219999999999999
2022-10,XXXV2,High,1189.6599999999999,26.36
2022-10,XXXV2,Low,1460.96,82.34
2022-10,XXXV2,Medium,1360.8,46.480000000000004
2022-10,XXXV3,High,278.49,2.4000000000000004
2022-10,XXXV3,Low,289.71000000000004,12.35
2022-10,XXXV3,Medium,522.49,36.87
2022-10,XXXV4,High,216.49,2.5500000000000003
2022-10,XXXV4,Low,362.09,9.23
2022-10,XXXV4,Medium,78.48,6.14
2022-10,XXXV5,High,263.99,13.73
2022-10,XXXV5,Low,70.26,-1.58
2022-10,XXXV5,Medium,184.93,12.700000000000001
2022-11,XXX11,High,311.57,12.620000000000001
2022-11,XXX11,Low,79.44,9.33
2022-11,XXX11,Medium,59.37,-4.89
2022-11,XXX12,High,673.57,44.32
2022-11,XXX12,Low,734.14,59.67
2022-11,XXX12,Medium,361.14,24.349999999999998
2022-11,XXX13,High,146.36,-1.87
2022-11,XXX13,Medium,146.67,7.65
2022-11,XXX15,Low,114.96,-4.83
2022-11,XXX18,Low,52.62,9.74
2022-11,XXXV1,High,562.44,29.66
2022-11,XXXV1,Low,704.62,25.8
2022-11,XXXV1,Medium,368.34999999999997,39.0
2022-11,XXXV2,High,1091.23,32.71
2022-11,XXXV2,Low,904.26,47.98
2022-11,XXXV2,Medium,923.13,39.32
2022-11,XXXV3,High,240.18,16.53
2022-11,XXXV3,Low,168.3,5.48
2022-11,XXXV3,Medium,196.16000000000003,4.830000000000001
2022-11,XXXV4,High,86.22,5.05
2022-11,XXXV4,Low,134.12,4.7299999999999995
2022-11,XXXV5,High,499.01,10.399999999999999
2022-11,XXXV5,Low,149.83,5.39
2022-11,XXXV5,Medium,181.88,10.370000000000001
2022-12,XXX11,High,373.39,15.440000000000001
2022-12,XXX11,Low,625.12,36.92
2022-12,XXX11,Medium,85.95,0.28
2022-12,XXX12,High,269.92,21.0
2022-12,XXX12,Low,282.75,27.479999999999997
2022-12,XXX12,Medium,346.17,22.07
2022-12,XXX13,High,161.65,8.25
2022-12,XXX13,Low,53.05,12.58
2022-12,XXX13,Medium,231.69,2.2
2022-12,XXX15,High,263.27,7.640000000000001
2022-12,XXX15,Medium,122.79,-2.88
2022-12,XXX17,High,139.98,7.02
2022-12,XXX18,Low,153.60000000000002,3.62
2022-12,XXX18,Medium,181.76000000000002,20.32
2022-12,XXXV1,High,273.8,9.51
2022-12,XXXV1,Low,592.65,3.0799999999999996
2022-12,XXXV1,Medium,478.08,5.609999999999999
2022-12,XXXV2,High,1092.43,71.3
2022-12,XXXV2,Low,529.08,1.8000000000000005
2022-12,XXXV2,Medium,820.5600000000001,34.53
2022-12,XXXV3,High,527.3199999999999,26.15
2022-12,XXXV3,Low,541.03,32.47
2022-12,XXXV3,Medium,289.8,25.08
2022-12,XXXV4,High,59.4,-3.23
2022-12,XXXV4,Medium,140.64,-3.01
2022-12,XXXV5,High,249.39,-0.8
2022-12,XXXV5,Low,120.11,1.38
